run,axis,rmse,pearson_r,peak_amp,peak_idx
"0       stationary_spiral2_10.08.2025.csv
1       stationary_spiral2_10.08.2025.csv
2       stationary_spiral2_10.08.2025.csv
3       stationary_spiral2_10.08.2025.csv
4       stationary_spiral2_10.08.2025.csv
                      ...                
9513    stationary_spiral2_10.08.2025.csv
9514    stationary_spiral2_10.08.2025.csv
9515    stationary_spiral2_10.08.2025.csv
9516    stationary_spiral2_10.08.2025.csv
9517    stationary_spiral2_10.08.2025.csv
Name: source_path, Length: 9518, dtype: object",mag,101.31765371147127,0.9993272064666062,8600.203965604536,5706
"0       stationary_spiral3_10.08.2025.csv
1       stationary_spiral3_10.08.2025.csv
2       stationary_spiral3_10.08.2025.csv
3       stationary_spiral3_10.08.2025.csv
4       stationary_spiral3_10.08.2025.csv
                      ...                
9789    stationary_spiral3_10.08.2025.csv
9790    stationary_spiral3_10.08.2025.csv
9791    stationary_spiral3_10.08.2025.csv
9792    stationary_spiral3_10.08.2025.csv
9793    stationary_spiral3_10.08.2025.csv
Name: source_path, Length: 9794, dtype: object",x,111.57296227419499,0.9998791519447078,7753.425855710494,5883
"0       stationary_spiral3_10.08.2025.csv
1       stationary_spiral3_10.08.2025.csv
2       stationary_spiral3_10.08.2025.csv
3       stationary_spiral3_10.08.2025.csv
4       stationary_spiral3_10.08.2025.csv
                      ...                
9789    stationary_spiral3_10.08.2025.csv
9790    stationary_spiral3_10.08.2025.csv
9791    stationary_spiral3_10.08.2025.csv
9792    stationary_spiral3_10.08.2025.csv
9793    stationary_spiral3_10.08.2025.csv
Name: source_path, Length: 9794, dtype: object",y,61.03228133045804,0.9997188567535699,5354.919653925725,6365
"0       stationary_spiral3_10.08.2025.csv
1       stationary_spiral3_10.08.2025.csv
2       stationary_spiral3_10.08.2025.csv
3       stationary_spiral3_10.08.2025.csv
4       stationary_spiral3_10.08.2025.csv
                      ...                
9789    stationary_spiral3_10.08.2025.csv
9790    stationary_spiral3_10.08.2025.csv
9791    stationary_spiral3_10.08.2025.csv
9792    stationary_spiral3_10.08.2025.csv
9793    stationary_spiral3_10.08.2025.csv
Name: source_path, Length: 9794, dtype: object",z,73.47464419815435,0.9986254023589345,-3876.0,6157
"0       stationary_spiral3_10.08.2025.csv
1       stationary_spiral3_10.08.2025.csv
2       stationary_spiral3_10.08.2025.csv
3       stationary_spiral3_10.08.2025.csv
4       stationary_spiral3_10.08.2025.csv
                      ...                
9789    stationary_spiral3_10.08.2025.csv
9790    stationary_spiral3_10.08.2025.csv
9791    stationary_spiral3_10.08.2025.csv
9792    stationary_spiral3_10.08.2025.csv
9793    stationary_spiral3_10.08.2025.csv
Name: source_path, Length: 9794, dtype: object",mag,85.09572499425684,0.9996532769884333,8634.967342150172,6157
"0       stationary_spiral4_10.08.2025.csv
1       stationary_spiral4_10.08.2025.csv
2       stationary_spiral4_10.08.2025.csv
3       stationary_spiral4_10.08.2025.csv
4       stationary_spiral4_10.08.2025.csv
                      ...                
9514    stationary_spiral4_10.08.2025.csv
9515    stationary_spiral4_10.08.2025.csv
9516    stationary_spiral4_10.08.2025.csv
9517    stationary_spiral4_10.08.2025.csv
9518    stationary_spiral4_10.08.2025.csv
Name: source_path, Length: 9519, dtype: object",x,107.42305019793616,0.9999247809715701,7766.860884553039,5507
"0       stationary_spiral4_10.08.2025.csv
1       stationary_spiral4_10.08.2025.csv
2       stationary_spiral4_10.08.2025.csv
3       stationary_spiral4_10.08.2025.csv
4       stationary_spiral4_10.08.2025.csv
                      ...                
9514    stationary_spiral4_10.08.2025.csv
9515    stationary_spiral4_10.08.2025.csv
9516    stationary_spiral4_10.08.2025.csv
9517    stationary_spiral4_10.08.2025.csv
9518    stationary_spiral4_10.08.2025.csv
Name: source_path, Length: 9519, dtype: object",y,43.70011762869246,0.9998478722798655,5272.188160526899,5989
"0       stationary_spiral4_10.08.2025.csv
1       stationary_spiral4_10.08.2025.csv
2       stationary_spiral4_10.08.2025.csv
3       stationary_spiral4_10.08.2025.csv
4       stationary_spiral4_10.08.2025.csv
                      ...                
9514    stationary_spiral4_10.08.2025.csv
9515    stationary_spiral4_10.08.2025.csv
9516    stationary_spiral4_10.08.2025.csv
9517    stationary_spiral4_10.08.2025.csv
9518    stationary_spiral4_10.08.2025.csv
Name: source_path, Length: 9519, dtype: object",z,56.204822506422744,0.9994430775839911,-3854.0,5780
"0       stationary_spiral4_10.08.2025.csv
1       stationary_spiral4_10.08.2025.csv
2       stationary_spiral4_10.08.2025.csv
3       stationary_spiral4_10.08.2025.csv
4       stationary_spiral4_10.08.2025.csv
                      ...                
9514    stationary_spiral4_10.08.2025.csv
9515    stationary_spiral4_10.08.2025.csv
9516    stationary_spiral4_10.08.2025.csv
9517    stationary_spiral4_10.08.2025.csv
9518    stationary_spiral4_10.08.2025.csv
Name: source_path, Length: 9519, dtype: object",mag,82.49591637570133,0.9997440428015739,8625.971133733292,5778
"0       stationary_spiral5_10.08.2025.csv
1       stationary_spiral5_10.08.2025.csv
2       stationary_spiral5_10.08.2025.csv
3       stationary_spiral5_10.08.2025.csv
4       stationary_spiral5_10.08.2025.csv
                      ...                
8829    stationary_spiral5_10.08.2025.csv
8830    stationary_spiral5_10.08.2025.csv
8831    stationary_spiral5_10.08.2025.csv
8832    stationary_spiral5_10.08.2025.csv
8833    stationary_spiral5_10.08.2025.csv
Name: source_path, Length: 8834, dtype: object",x,270.9764648892937,0.9999497558942156,7408.357746491459,5380
