set,axis,num_runs,mean_rmse,median_rmse,mean_pearson_r,median_pearson_r,mean_peak_amp,std_peak_amp,mean_peak_idx,std_peak_idx,mean_frame_std,max_frame_std,rms_frame_std
reseated,mag,10,145.33913322883308,106.81119780454455,0.9986442078672276,0.999586052278506,8575.585257283898,101.06987709045951,5826.7,172.29976784662247,140.62270440930524,299.8043663518388,160.562144892845
reseated,x,10,181.86944771378361,115.06545226939933,0.9995368067954189,0.9998310278141126,7657.506820842539,204.70100451634352,5554.3,172.08431073168757,194.79068121957624,405.8086510290288,211.34851178926127
reseated,y,10,138.8238740848033,138.96587770644624,0.9984534783626524,0.9994008787924562,1046.9776555638618,5218.1005453373555,6411.3,481.908300405793,115.34221436546505,554.3400592145583,151.70661644237046
reseated,z,10,108.05332341015603,65.39814304931537,0.9985492918464391,0.9993130431015729,-3901.9,115.60661745765248,5826.6,172.18431984359088,111.66839203637993,287.8093118715932,125.17946264705334
