run,axis,rmse,pearson_r,peak_amp,peak_idx
"0       mounted_spiral2_10.08.2025.csv
1       mounted_spiral2_10.08.2025.csv
2       mounted_spiral2_10.08.2025.csv
3       mounted_spiral2_10.08.2025.csv
4       mounted_spiral2_10.08.2025.csv
                     ...              
8623    mounted_spiral2_10.08.2025.csv
8624    mounted_spiral2_10.08.2025.csv
8625    mounted_spiral2_10.08.2025.csv
8626    mounted_spiral2_10.08.2025.csv
8627    mounted_spiral2_10.08.2025.csv
Name: source_path, Length: 8628, dtype: object",z,44.08587655096348,0.999379088954381,-3835.0,5437
"0       mounted_spiral2_10.08.2025.csv
1       mounted_spiral2_10.08.2025.csv
2       mounted_spiral2_10.08.2025.csv
3       mounted_spiral2_10.08.2025.csv
4       mounted_spiral2_10.08.2025.csv
                     ...              
8623    mounted_spiral2_10.08.2025.csv
8624    mounted_spiral2_10.08.2025.csv
8625    mounted_spiral2_10.08.2025.csv
8626    mounted_spiral2_10.08.2025.csv
8627    mounted_spiral2_10.08.2025.csv
Name: source_path, Length: 8628, dtype: object",mag,58.38265563851104,0.9997620208336377,8766.346160174147,5437
"0       mounted_spiral3_10.08.2025.csv
1       mounted_spiral3_10.08.2025.csv
2       mounted_spiral3_10.08.2025.csv
3       mounted_spiral3_10.08.2025.csv
4       mounted_spiral3_10.08.2025.csv
                     ...              
8593    mounted_spiral3_10.08.2025.csv
8594    mounted_spiral3_10.08.2025.csv
8595    mounted_spiral3_10.08.2025.csv
8596    mounted_spiral3_10.08.2025.csv
8597    mounted_spiral3_10.08.2025.csv
Name: source_path, Length: 8598, dtype: object",x,22.532663502317973,0.9999770182987531,7778.8816998332095,5516
"0       mounted_spiral3_10.08.2025.csv
1       mounted_spiral3_10.08.2025.csv
2       mounted_spiral3_10.08.2025.csv
3       mounted_spiral3_10.08.2025.csv
4       mounted_spiral3_10.08.2025.csv
                     ...              
8593    mounted_spiral3_10.08.2025.csv
8594    mounted_spiral3_10.08.2025.csv
8595    mounted_spiral3_10.08.2025.csv
8596    mounted_spiral3_10.08.2025.csv
8597    mounted_spiral3_10.08.2025.csv
Name: source_path, Length: 8598, dtype: object",y,26.976683016842507,0.999944785119835,-5902.9274093453,6921
"0       mounted_spiral3_10.08.2025.csv
1       mounted_spiral3_10.08.2025.csv
2       mounted_spiral3_10.08.2025.csv
3       mounted_spiral3_10.08.2025.csv
4       mounted_spiral3_10.08.2025.csv
                     ...              
8593    mounted_spiral3_10.08.2025.csv
8594    mounted_spiral3_10.08.2025.csv
8595    mounted_spiral3_10.08.2025.csv
8596    mounted_spiral3_10.08.2025.csv
8597    mounted_spiral3_10.08.2025.csv
Name: source_path, Length: 8598, dtype: object",z,29.57377985221744,0.9998060087794142,-3825.0,5496
"0       mounted_spiral3_10.08.2025.csv
1       mounted_spiral3_10.08.2025.csv
2       mounted_spiral3_10.08.2025.csv
3       mounted_spiral3_10.08.2025.csv
4       mounted_spiral3_10.08.2025.csv
                     ...              
8593    mounted_spiral3_10.08.2025.csv
8594    mounted_spiral3_10.08.2025.csv
8595    mounted_spiral3_10.08.2025.csv
8596    mounted_spiral3_10.08.2025.csv
8597    mounted_spiral3_10.08.2025.csv
Name: source_path, Length: 8598, dtype: object",mag,34.185510659080165,0.9999176758984836,8757.293246203419,5494
"0       mounted_spiral4_10.08.2025.csv
1       mounted_spiral4_10.08.2025.csv
2       mounted_spiral4_10.08.2025.csv
3       mounted_spiral4_10.08.2025.csv
4       mounted_spiral4_10.08.2025.csv
                     ...              
8659    mounted_spiral4_10.08.2025.csv
8660    mounted_spiral4_10.08.2025.csv
8661    mounted_spiral4_10.08.2025.csv
8662    mounted_spiral4_10.08.2025.csv
8663    mounted_spiral4_10.08.2025.csv
Name: source_path, Length: 8664, dtype: object",x,26.84924508050028,0.9999709408327428,7777.467486270837,5463
"0       mounted_spiral4_10.08.2025.csv
1       mounted_spiral4_10.08.2025.csv
2       mounted_spiral4_10.08.2025.csv
3       mounted_spiral4_10.08.2025.csv
4       mounted_spiral4_10.08.2025.csv
                     ...              
8659    mounted_spiral4_10.08.2025.csv
8660    mounted_spiral4_10.08.2025.csv
8661    mounted_spiral4_10.08.2025.csv
8662    mounted_spiral4_10.08.2025.csv
8663    mounted_spiral4_10.08.2025.csv
Name: source_path, Length: 8664, dtype: object",y,31.338084528619298,0.9999245582869856,-5897.977661876994,6868
"0       mounted_spiral4_10.08.2025.csv
1       mounted_spiral4_10.08.2025.csv
2       mounted_spiral4_10.08.2025.csv
3       mounted_spiral4_10.08.2025.csv
4       mounted_spiral4_10.08.2025.csv
                     ...              
8659    mounted_spiral4_10.08.2025.csv
8660    mounted_spiral4_10.08.2025.csv
8661    mounted_spiral4_10.08.2025.csv
8662    mounted_spiral4_10.08.2025.csv
8663    mounted_spiral4_10.08.2025.csv
Name: source_path, Length: 8664, dtype: object",z,26.11678996198023,0.9997873047252893,-3859.0,5439
"0       mounted_spiral4_10.08.2025.csv
1       mounted_spiral4_10.08.2025.csv
2       mounted_spiral4_10.08.2025.csv
3       mounted_spiral4_10.08.2025.csv
4       mounted_spiral4_10.08.2025.csv
                     ...              
8659    mounted_spiral4_10.08.2025.csv
8660    mounted_spiral4_10.08.2025.csv
8661    mounted_spiral4_10.08.2025.csv
8662    mounted_spiral4_10.08.2025.csv
8663    mounted_spiral4_10.08.2025.csv
Name: source_path, Length: 8664, dtype: object",mag,40.60143687751821,0.9998899513956763,8775.462722842596,5440
