axis,rmse_between_means,pearson_r_between_means,mounted_mean_peak_amp,mounted_mean_peak_idx,reseated_mean_peak_amp,reseated_mean_peak_idx,peak_amp_diff,peak_idx_diff
mag,679.9381225924378,0.9886878097744416,13693.4826319654,7445,12354.133514718613,5819,1339.3491172467875,1626
x,568.6956120227536,0.993330997945943,10925.224033400871,5788,10905.566464883887,5820,19.65756851698461,-32
y,767.2359082151834,0.989646596905645,-11440.563455529627,7214,-10343.204441806223,7241,-1097.3590137234041,-27
z,483.0597362766282,0.9628735557066228,-6592.5,7445,-5497.9,5819,-1094.6000000000004,1626
