axis,rmse_between_means,pearson_r_between_means,mounted_mean_peak_amp,mounted_mean_peak_idx,reseated_mean_peak_amp,reseated_mean_peak_idx,peak_amp_diff,peak_idx_diff
mag,513.7129339914578,0.9832712352525167,8748.687217827648,5787,8573.606232482347,6091,175.0809853453011,-304
x,342.6935490949339,0.9920893858664912,7759.931238097411,5808,7655.880475245809,5818,104.05076285160158,-10
y,503.0205052018012,0.9862967658133833,-5897.482687130163,7213,5230.999190522782,6301,-11128.481877652945,912
z,348.6900680701943,0.9514616253288081,-3845.8,5787,-3899.9,6091,54.09999999999991,-304
