time,phase,device_id,phase_name,phase_id,record_id,2-outer-x,2-outer-y,2-outer-z,2-inner-x,2-inner-y,2-inner-z,3-outer-x,3-outer-y,3-outer-z,3-inner-x,3-inner-y,3-inner-z,0-outer-x,0-outer-y,0-outer-z,0-inner-x,0-inner-y,0-inner-z,1-outer-x,1-outer-y,1-outer-z,1-inner-x,1-inner-y,1-inner-z,sum-x,sum-y,sum-z,moments-x,moments-y,moments-z,COPx,COPy,bx,by,bz
1761327680259,simple,Load Cells,simple,simple.0,41432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69,2.09,-0.12,3.03,0.78,2.02,0.0,0.0,0.0,0.0,0.0,0.0,1.34,2.87,1.9,0.0,0.0,0.0,1.0,1.0,1.1043812036514282,-0.7254838943481445,0.8474196791648865
1761327680261,simple,Load Cells,simple,simple.0,41433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,3.09,-0.12,5.03,1.78,0.02,0.0,0.0,0.0,0.0,0.0,0.0,6.34,4.87,-0.1,0.0,0.0,0.0,1.0,1.0,0.07044833153486252,-0.015278533101081848,0.09858234226703644
1761327680264,simple,Load Cells,simple,simple.0,41434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,1.09,2.88,-2.97,0.78,1.02,0.0,0.0,0.0,0.0,0.0,0.0,-3.66,1.87,3.9,0.0,0.0,0.0,1.0,1.0,-1.3431804180145264,0.910304844379425,-0.7920581698417664
1761327680266,simple,Load Cells,simple,simple.0,41435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,-0.91,2.88,-0.97,-1.22,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-2.13,4.9,0.0,0.0,0.0,1.0,1.0,-1.3856565952301025,0.9423404932022095,-0.7371822595596313
1761327680268,simple,Load Cells,simple,simple.0,41436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,-0.91,3.88,-0.97,1.78,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.87,6.9,0.0,0.0,0.0,1.0,1.0,-0.4926203489303589,0.32725632190704346,-0.22387419641017914
1761327680270,simple,Load Cells,simple,simple.0,41437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.69,3.09,2.88,1.03,1.78,-1.98,0.0,0.0,0.0,0.0,0.0,0.0,-1.66,4.87,0.9,0.0,0.0,0.0,1.0,1.0,0.17508482933044434,-0.30064210295677185,0.2539830803871155
1761327680272,simple,Load Cells,simple,simple.0,41438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,3.09,0.88,3.03,-0.22,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,2.34,2.87,-0.1,0.0,0.0,0.0,1.0,1.0,1.08573317527771,-0.7831479907035828,0.7750611901283264
1761327680274,simple,Load Cells,simple,simple.0,41439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.09,2.88,-0.97,1.78,-2.98,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,1.87,-0.1,0.0,0.0,0.0,1.0,1.0,1.654499888420105,-1.1123757362365723,1.1285978555679321
1761327680276,simple,Load Cells,simple,simple.0,41440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2.09,2.88,2.03,3.78,-2.98,0.0,0.0,0.0,0.0,0.0,0.0,2.34,5.87,-0.1,0.0,0.0,0.0,1.0,1.0,0.9805786609649658,-0.6747196912765503,0.7114440202713013
1761327680279,simple,Load Cells,simple,simple.0,41441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.31,-3.91,-0.12,-0.97,-1.22,5.02,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-5.13,4.9,0.0,0.0,0.0,1.0,1.0,-0.7785577178001404,0.5046844482421875,-0.4098694622516632
1761327680281,simple,Load Cells,simple,simple.0,41442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69,3.09,5.88,1.03,1.78,4.02,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,4.87,9.9,0.0,0.0,0.0,1.0,1.0,-1.4151827096939087,0.9581118822097778,-0.7862306237220764
1761327680283,simple,Load Cells,simple,simple.0,41443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,1.09,1.88,-0.97,0.78,2.02,0.0,0.0,0.0,0.0,0.0,0.0,-1.66,1.87,3.9,0.0,0.0,0.0,1.0,1.0,-1.3354103565216064,0.8807334899902344,-0.6755076050758362
1761327680285,simple,Load Cells,simple,simple.0,41444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.69,-0.91,2.88,1.03,-3.22,-1.98,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,-4.13,0.9,0.0,0.0,0.0,1.0,1.0,-0.33929160237312317,0.24297796189785004,-0.09032668173313141
1761327680287,simple,Load Cells,simple,simple.0,41445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.69,4.09,-0.12,-0.97,-0.22,4.02,0.0,0.0,0.0,0.0,0.0,0.0,-4.66,3.87,3.9,0.0,0.0,0.0,1.0,1.0,0.257447212934494,-0.3035992383956909,0.3447953760623932
1761327680289,simple,Load Cells,simple,simple.0,41446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.69,-4.91,-3.12,1.03,-2.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,-1.66,-7.13,-3.1,0.0,0.0,0.0,1.0,1.0,1.058797001838684,-0.7511124014854431,0.8600459694862366
1761327680291,simple,Load Cells,simple,simple.0,41447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-1.91,-0.12,1.03,-0.22,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,1.34,-2.13,-1.1,0.0,0.0,0.0,1.0,1.0,1.5457193851470947,-1.038940191268921,1.049440622329712
1761327680293,simple,Load Cells,simple,simple.0,41448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,2.09,1.88,1.03,-2.22,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.34,-0.13,1.9,0.0,0.0,0.0,1.0,1.0,0.6309270262718201,-0.4524417221546173,0.47397226095199585
1761327680296,simple,Load Cells,simple,simple.0,41449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,-0.91,3.88,0.03,0.78,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.34,-0.13,2.9,0.0,0.0,0.0,1.0,1.0,-1.1111153364181519,0.8348978757858276,-0.6172323226928711
1761327680298,simple,Load Cells,simple,simple.0,41450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,0.09,2.88,3.03,-1.22,-1.98,0.0,0.0,0.0,0.0,0.0,0.0,2.34,-1.13,0.9,0.0,0.0,0.0,1.0,1.0,-1.3639005422592163,0.9521976113319397,-0.7274696826934814
1761327680300,simple,Load Cells,simple,simple.0,41451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.69,1.09,0.88,-0.97,4.78,1.02,0.0,0.0,0.0,0.0,0.0,0.0,-3.66,5.87,1.9,0.0,0.0,0.0,1.0,1.0,-1.0935032367706299,0.7713194489479065,-0.5565288662910461
1761327680302,simple,Load Cells,simple,simple.0,41452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31,2.09,2.88,1.03,1.78,1.02,0.0,0.0,0.0,0.0,0.0,0.0,3.34,3.87,3.9,0.0,0.0,0.0,1.0,1.0,-0.20564697682857513,0.10497830808162689,0.024281365796923637
1761327680304,simple,Load Cells,simple,simple.0,41453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.69,2.09,2.88,0.03,0.78,-0.98,0.0,0.0,0.0,0.0,0.0,0.0,-0.66,2.87,1.9,0.0,0.0,0.0,1.0,1.0,0.6143509149551392,-0.4475131630897522,0.5929509401321411
